EmployeeID,FullName,Branch,Active,Position,Target,Sales,Bonus,JoinDate,Achieve the target, month,year
1000,Allison Hill,Cairo,Yes,Sales Manager,36049,34706,0,13/04/2021,Achieve,April,2021
1001,Brian Yang,Cairo,Yes,Branch Manager,25697,30371,467,09/01/2024,Not Achieve,January,2024
1002,Javier Johnson,Cairo,Yes,Sales Rep,35247,38526,492,30/03/2021,Not Achieve,March,2021
1003,Lance Hoffman,Cairo,Yes,Branch Manager,62590,69080,974,29/11/2024,Not Achieve,November,2024
1004,Jennifer Cole,Tanta,Yes,Branch Manager,38231,46492,413,01/10/2021,Not Achieve,October,2021
1005,Abigail Shaffer,Giza,Yes,Sales Manager,38210,35757,0,28/04/2025,Achieve,April,2025
1006,Donald Lewis,Alexandria,Yes,Sales Manager,26338,27219,88,31/03/2022,Not Achieve,March,2022
1007,James Howard,Aswan,Yes,Sales Rep,67823,70350,379,23/04/2022,Not Achieve,April,2022
1008,Renee Blair,Cairo,No,Sales Manager,25164,29208,404,12/12/2023,Not Achieve,December,2023
1009,Thomas Miller,Aswan,No,Sales Manager,57837,55987,0,16/11/2021,Achieve,November,2021
1010,Lisa Hensley,Cairo,Yes,Sales Rep,38965,35272,0,17/04/2024,Achieve,April,2024
1011,Benjamin Stanley,Cairo,Yes,Sales Manager,61660,70326,867,05/11/2021,Not Achieve,November,2021
1012,Dr. Sharon James,Giza,Yes,Sales Rep,63920,63294,0,29/03/2023,Achieve,March,2023
1013,Holly Wood,Cairo,Yes,Sales Rep,55005,61951,347,01/03/2021,Not Achieve,March,2021
1014,Mia Sutton,Giza,Yes,Sales Manager,61943,68217,941,28/12/2019,Not Achieve,December,2019
1015,Carolyn Daniel,Giza,Yes,Sales Rep,35010,43474,423,09/10/2020,Not Achieve,October,2020
1016,Devin Schaefer,Alexandria,Yes,Sales Rep,33826,43786,1494,28/03/2025,Not Achieve,March,2025
1017,Melinda Cameron,Alexandria,Yes,Sales Manager,45928,55422,1424,10/11/2019,Not Achieve,November,2019
1018,Andrew Stewart,Tanta,Yes,Sales Rep,36162,43367,1081,29/08/2021,Not Achieve,August,2021
1019,Thomas Bradley,Aswan,Yes,Branch Manager,48077,57786,1456,22/01/2022,Not Achieve,January,2022
1020,Jonathan Wilkerson,Tanta,Yes,Sales Rep,53392,56477,154,07/11/2024,Not Achieve,November,2024
1021,Derek Wright,Cairo,No,Sales Rep,61120,58741,0,28/02/2024,Achieve,February,2024
1022,Nicole Patterson,Tanta,Yes,Sales Manager,45009,49772,476,06/05/2024,Not Achieve,May,2024
